review,category_sentiment,category,sentiment
Kotor berdebu. Saya tdk berhenti bersin ketika awal masuk kamar. Kesan kamarnya kumuh. Wifi rusak. Saya lgsg check out,wifi_P1-neg,wifi_P1,neg
Kotor berdebu. Saya tdk berhenti bersin ketika awal masuk kamar. Kesan kamarnya kumuh. Wifi rusak. Saya lgsg check out,kebersihan-neg,kebersihan,neg
kamar ada semutnya. kamar mandi bermasalah. buangan air mampet..sehingga air meluber ke luar kamar,kebersihan-neg,kebersihan,neg
"Kamar mandi bau, airnya bau",bau_P1-neg,bau_P1,neg
"tak sesuai espektasi, kamar sempit, pintu kamar mandi rusak, cek in menunggu terlalu lama, malam suara berisik dr atap kamar, tidak nyaman",service-neg,service,neg
buruk. kasur ada bekas sperma seprai jg air bau karat kasur pernya jg rusak sabun habis pasword wifi ga tau ,linen_P1-neg,linen_P1,neg
buruk. kasur ada bekas sperma seprai jg air bau karat kasur pernya jg rusak sabun habis pasword wifi ga tau ,wifi_P1-neg,wifi_P1,neg
baik dan puas tapi masih ada kekurangannya waktu saya boking airy rooms saya pilih 1 bad tp ketika saya cek in yang di kasih 2 bad.! mohon di tingkatkan lagi.. terimah kasih airy rooma.!,service-neg,service,neg
"Kamar mandinya kurang bersih, dan kurang lengkap faslitasnya untuk dikamar mandi, untuk yang lain lumayan",kebersihan-neg,kebersihan,neg
"Kamar mandinya kurang bersih, dan kurang lengkap faslitasnya untuk dikamar mandi, untuk yang lain lumayan",linen_P1-neg,linen_P1,neg
sarung bantal agak bau,linen_P1-neg,linen_P1,neg
"Lumayan lah.. sangat terjangkau, namun perlu ada yg dibenahi soal kebersihan kasurnya. Kemarin saya mendapati kasurnya jorok, banyak helai rambur, sepertinya belum dibersihkan belum diganti seprei bekas pengunjung sebelumnya.",kebersihan-neg,kebersihan,neg
"Lumayan lah.. sangat terjangkau, namun perlu ada yg dibenahi soal kebersihan kasurnya. Kemarin saya mendapati kasurnya jorok, banyak helai rambur, sepertinya belum dibersihkan belum diganti seprei bekas pengunjung sebelumnya.",linen_P1-neg,linen_P1,neg
"kamar mandinya bau, dan lubang saluran air mampat dan penuh rambut sampai harus saya yang membersihkan. kurang meja kecil disamping tempat tidur. kamar agak kecil, tapi sangat nyaman.",bau_P1-neg,bau_P1,neg
"kamar mandinya bau, dan lubang saluran air mampat dan penuh rambut sampai harus saya yang membersihkan. kurang meja kecil disamping tempat tidur. kamar agak kecil, tapi sangat nyaman.",kebersihan-neg,kebersihan,neg
Dari segi fasilitas nya sekarang kurang dari kamar mandi nya showernya tidak ada pengikatnya. Dari pelayanannya sedikit lebih d tingkatkan lagi,service-neg,service,neg
"kamarnya nyaman, acnya berbunyi,lantai kamarnya kurang bersih tapi makanan unuk sarapannya enak terima kasih airy",ac_P1-neg,ac_P1,neg
"kamarnya nyaman, acnya berbunyi,lantai kamarnya kurang bersih tapi makanan unuk sarapannya enak terima kasih airy",kebersihan-neg,kebersihan,neg
"kamarnya nyaman, acnya berbunyi,lantai kamarnya kurang bersih tapi makanan unuk sarapannya enak terima kasih airy",sunrise_meal_P1-pos,sunrise_meal_P1,pos
agak bau rokok :),bau_P1-neg,bau_P1,neg
"sangat emejing menginap di airy Sutoyo hotel dewarna,udah murah tempat juga nyaman buat istirahat,apalagi breakfastnya juga nikmat ga asal2an dengan harga murah kualitas tidak murahan.tp yg perlu diperbaiki cuman kebersihan kamar kurang bersih klo ngepel,overall rekomen bgt",sunrise_meal_P1-pos,sunrise_meal_P1,pos
"sangat emejing menginap di airy Sutoyo hotel dewarna,udah murah tempat juga nyaman buat istirahat,apalagi breakfastnya juga nikmat ga asal2an dengan harga murah kualitas tidak murahan.tp yg perlu diperbaiki cuman kebersihan kamar kurang bersih klo ngepel,overall rekomen bgt",kebersihan-neg,kebersihan,neg
"sangat emejing menginap di airy Sutoyo hotel dewarna,udah murah tempat juga nyaman buat istirahat,apalagi breakfastnya juga nikmat ga asal2an dengan harga murah kualitas tidak murahan.tp yg perlu diperbaiki cuman kebersihan kamar kurang bersih klo ngepel,overall rekomen bgt",general-pos,general,pos
"kamar spt kos kos an , tidak ada handuk , tidak ada hot water parkir mobil sempit",linen_P1-neg,linen_P1,neg
"kamar spt kos kos an , tidak ada handuk , tidak ada hot water parkir mobil sempit",air_panas_P1-neg,air_panas_P1,neg
"Sprei kasur dan handuk masih kurangp bersih tetapi,klo lebih bersih pasti tambah oke",linen_P1-neg,linen_P1,neg
"Tidak ada layanan untuk menonton televisi. Yang lainnya memuaskan, oke.",tv_P1-neg,tv_P1,neg
"Tidak ada layanan untuk menonton televisi. Yang lainnya memuaskan, oke.",general-pos,general,pos
cukup oke pelayanannya......cuma handuknya kurang bersih. terima kasih,service-pos,service,pos
cukup oke pelayanannya......cuma handuknya kurang bersih. terima kasih,linen_P1-neg,linen_P1,neg
"sangat memuaskan. Sprei dan handuknya wangi, kamarnya cukup bersih dan nyaman. AC dan air panasnya berfungsi dengan baik. Saluran TV sedikit bermasalah tapi cukup memuaskan. ini pengalaman kedua saya di airy gunung sahari. Terima.kasih",linen_P1-pos,linen_P1,pos
